,0
0,442
1,444
2,445
3,445
4,445
5,445
6,445
7,445
8,446
9,446
10,446
11,446
12,446
13,446
14,446
15,446
16,446
17,446
18,446
19,447
20,447
21,447
22,447
23,447
24,447
25,447
26,447
27,447
28,447
29,447
30,447
31,447
32,447
33,447
34,447
35,447
36,448
37,448
38,448
39,448
40,448
41,448
42,448
43,448
44,448
45,448
46,448
47,448
48,448
49,448
50,448
51,448
52,448
53,448
54,448
55,449
56,449
57,449
58,449
59,449
60,449
61,449
62,449
63,449
64,449
65,449
66,449
67,449
68,449
69,449
70,449
71,449
72,449
73,449
74,449
75,449
76,449
77,450
78,450
79,450
80,450
81,450
82,450
83,450
84,450
85,450
86,450
87,450
88,450
89,450
90,450
91,450
92,450
93,450
94,450
95,450
96,451
97,451
98,451
99,451
100,451
101,451
102,451
103,451
104,451
105,451
106,451
107,451
108,451
109,451
110,451
111,451
112,451
113,451
114,451
115,451
116,451
117,451
118,451
119,451
120,451
121,451
122,451
123,451
124,451
125,451
126,451
127,451
128,451
129,452
130,452
131,452
132,452
133,452
134,452
135,452
136,452
137,452
138,452
139,452
140,452
141,452
142,452
143,452
144,452
145,452
146,452
147,452
148,452
149,452
150,452
151,452
152,452
153,452
154,452
155,452
156,452
157,452
158,452
159,452
160,452
161,452
162,452
163,452
164,453
165,453
166,453
167,453
168,453
169,453
170,453
171,453
172,453
173,453
174,453
175,453
176,453
177,453
178,453
179,453
180,453
181,453
182,453
183,453
184,453
185,453
186,453
187,453
188,453
189,453
190,453
191,453
192,453
193,453
194,453
195,453
196,453
197,453
198,453
199,453
200,453
201,453
202,454
203,454
204,454
205,454
206,454
207,454
208,454
209,454
210,454
211,454
212,454
213,454
214,454
215,454
216,454
217,454
218,454
219,454
220,454
221,454
222,454
223,454
224,454
225,454
226,454
227,454
228,454
229,454
230,454
231,454
232,454
233,454
234,454
235,454
236,454
237,454
238,454
239,454
240,454
241,454
242,454
243,454
244,454
245,454
246,454
247,455
248,455
249,455
250,455
251,455
252,455
253,455
254,455
255,455
256,455
257,455
258,455
259,455
260,455
261,455
262,455
263,455
264,455
265,455
266,455
267,455
268,455
269,455
270,455
271,455
272,455
273,455
274,455
275,455
276,455
277,455
278,455
279,455
280,455
281,455
282,455
283,455
284,455
285,455
286,455
287,455
288,455
289,455
290,455
291,455
292,455
293,455
294,455
295,456
296,456
297,456
298,456
299,456
